feature,importance
num__YearsAtCompany,1729
num__EngagementScore,1670
num__BonusPercent,1654
num__SalaryRolePct,1466
num__ManagerID_te,1269
num__Department_te,1232
num__TrainingHoursLastYear,1194
num__AnnualSalaryINR,979
num__Age,971
num__Role_te,945
num__SalaryDeptPct,880
num__PerformanceRating,266
Gender_Male,117
Gender_Female,109
Location_Clean_Chennai,63
Location_Clean_Mumbai,61
Location_Clean_Hyderabad,57
Location_Clean_Kolkata,55
Location_Clean_Bengaluru,52
Location_Clean_Delhi,51
Location_Clean_Singapore,46
Location_Clean_UK,46
Location_Clean_Pune,43
Location_Clean_UAE,30
Gender_Other,15
